kill-current-buffer, s-k
shrink-window-if-larger-than-buffer, C-x -
end-of-buffer-other-window, M-<end>
next-buffer, C-x <right>
project-find-regexp, C-x p g
scroll-left, C-x <
xref-find-definitions-other-frame, C-x 5 .
compose-last-chars, <compose-last-chars>
info-lookup-symbol, C-h S
downcase-region, C-x C-l
forward-sentence, M-e
complete-symbol, C-M-i
unhighlight-regexp, M-s h u
forward-paragraph, M-}
ns-respond-to-change-font, <ns-change-font>
mouse-set-region, <drag-mouse-1>
bookmark-set, C-x r m
delete-indentation, M-^
backward-word, M-b
inverse-add-global-abbrev, C-x a -
kmacro-to-register, C-x C-k x
ns-paste-secondary, s-y
dired-jump, C-x C-j
forward-list, C-M-n
save-buffers-kill-terminal, C-x C-c
project-or-external-find-file, C-x p F
copy-rectangle-to-register, C-x r r
comment-line, C-x C-;
rename-buffer, C-x x r
kill-some-buffers, s-^
customize, <ns-show-prefs>
mouse-yank-secondary, M-<mouse-2>
describe-key, C-h k
display-buffer-other-frame, C-x 5 C-o
beginning-of-buffer-other-window, M-<begin>
list-directory, C-x C-d
tab-rename, C-x t r
font-lock-update, C-x x f
vc-log-mergebase, C-x v M L
recenter-top-bottom, C-l
find-file-other-window, C-x 4 C-f
mouse-drag-bottom-right-corner, <bottom-right-corner> <down-mouse-1>
beginning-of-buffer, M-<
dired-other-window, C-x 4 d
frameset-to-register, C-x r f
reposition-window, C-M-l
copy-to-register, C-x r x
vc-log-outgoing, C-x v O
forward-char, C-f
set-input-method, C-x RET C-\
kmacro-add-counter, C-x C-k C-a
ido-dired, C-x d
xref-find-references, M-?
bookmark-bmenu-list, C-x r l
ido-display-buffer-other-frame, C-x 5 C-o
tab-close, C-x t 0
same-window-prefix, C-x 4 1
vc-merge, C-x v m
forward-sexp, C-M-f
backward-list, C-M-p
enlarge-window, C-x ^
eval-last-sexp, C-x C-e
mouse-drag-bottom-left-corner, <bottom-left-corner> <down-mouse-1>
yank, C-y
kmacro-end-call-mouse, S-<mouse-3>
help-quit, C-h q
buffer-menu-open, C-<f10>
delete-frame, C-x 5 0
upcase-word, M-u
tab-duplicate, C-x t n
handle-delete-frame, <delete-frame>
ido-find-file-read-only-other-frame, C-x 5 r
